user_id	Ranking	Baseline Rate	CM Rate	Number of States	Cmu	hmu	Lopt
104493815	1657	0.893	0.893	2.0	0.586553	0.503702	1.0
189892222	1658	0.886	0.886	85.0	2.46211	0.387609	9.0
17911598	1659	0.844	0.844	1.0	-0.0	0.440958	1.0
181233139	1660	0.943	0.943	2.0	0.453958	0.412096	1.0
233078106	1661	0.925	0.925	2.0	0.475565	0.459212	1.0
11426	1662	0.893	0.893	2.0	0.534727	0.504538	1.0
29974211	1663	0.975	0.975	2.0	0.381474	0.320569	1.0
220685156	1664	0.81	0.824	91.0	1.70614	0.243051	9.0
48320268	1665	0.966	0.966	2.0	0.209576	0.172643	1.0
62509229	1666	0.87	0.87	2.0	0.420983	0.406901	1.0
61897213	1667	0.893	0.893	1.0	-0.0	0.560185	1.0
177699866	1668	0.956	0.956	2.0	0.52651	0.450729	1.0
70478756	1669	0.938	0.938	1.0	-0.0	0.468954	1.0
19747277	1670	0.956	0.956	2.0	0.295182	0.284995	1.0
15117717	1671	0.983	0.983	2.0	0.319747	0.278722	1.0
14883514	1672	0.888	0.888	2.0	0.452265	0.430168	1.0
15565703	1673	0.878	0.878	2.0	0.582463	0.572155	1.0
182056988	1674	0.974	0.974	2.0	0.358297	0.320982	1.0
44446489	1675	0.977	0.977	2.0	0.335252	0.3162	1.0
31100040	1676	0.927	0.927	2.0	0.352367	0.319454	1.0
2941831	1677	0.965	0.965	2.0	0.406568	0.386559	1.0
113979106	1678	0.922	0.922	2.0	0.424536	0.344096	1.0
225924284	1679	0.885	0.885	1.0	-0.0	0.386643	1.0
3954581	1680	0.924	0.924	2.0	0.453112	0.430596	1.0
18345963	1681	0.953	0.953	2.0	0.579032	0.55159	1.0
23998156	1682	0.917	0.917	2.0	0.380525	0.352733	1.0
15905565	1683	0.911	0.911	2.0	0.439418	0.424092	1.0
200655127	1684	0.878	0.878	1.0	-0.0	0.565519	1.0
15699754	1685	0.943	0.943	2.0	0.437686	0.426656	1.0
59833587	1686	0.935	0.935	2.0	0.452265	0.404953	1.0
21690351	1687	0.982	0.982	2.0	0.24515	0.22098	1.0
13000872	1688	0.893	0.893	1.0	-0.0	0.500504	1.0
216597944	1689	0.917	0.917	2.0	0.33423	0.285468	1.0
8866232	1690	0.906	0.906	2.0	0.456489	0.434764	1.0
19461688	1691	0.924	0.924	2.0	0.490896	0.477454	1.0
18728945	1692	0.971	0.971	2.0	0.445446	0.433484	1.0
34343816	1693	0.872	0.872	1.0	-0.0	0.489362	1.0
15852054	1694	0.935	0.935	2.0	0.369992	0.340235	1.0
31030273	1695	0.857	0.857	2.0	0.430707	0.401485	1.0
16630083	1696	0.898	0.898	2.0	0.345377	0.29555	1.0
231488894	1697	0.94	0.988	2.0	0.214624	0.123866	1.0
17413777	1698	0.878	0.911	26.0	2.89812	0.375324	7.0
31070910	1699	0.904	0.904	2.0	0.324959	0.312807	1.0
13420562	1700	0.981	0.981	1.0	-0.0	0.391896	1.0
34316788	1701	0.94	0.94	2.0	0.420092	0.336252	1.0
22660603	1702	0.943	0.943	1.0	-0.0	0.308205	1.0
12304722	1703	0.932	0.948	2.0	0.46319	0.234253	1.0
15575441	1704	0.911	0.911	1.0	-0.0	0.536124	1.0
21230617	1705	0.924	0.924	2.0	0.399236	0.385571	1.0
91894424	1706	0.963	0.958	2.0	0.278602	0.20958	1.0
18526308	1707	0.898	0.898	2.0	0.481257	0.430511	1.0
11594432	1708	0.961	0.961	2.0	0.307055	0.278896	1.0
109841442	1709	0.87	0.87	1.0	-0.0	0.380947	1.0
237996239	1710	0.932	0.95	76.0	1.30553	0.175705	9.0
36730935	1711	0.935	0.935	2.0	0.290806	0.253561	1.0
62964460	1712	0.966	0.966	1.0	-0.0	0.240706	1.0
227228008	1713	0.969	0.969	2.0	0.35928	0.331019	1.0
14715516	1714	0.951	0.951	6.0	1.03784	0.346813	4.0
15131428	1715	0.979	0.979	2.0	0.406568	0.392972	1.0
60449169	1716	0.79	0.793	42.0	2.17139	0.591024	9.0
36568789	1717	0.945	0.945	2.0	0.299526	0.237175	1.0
52162223	1718	0.911	0.911	2.0	0.386196	0.333471	1.0
122757815	1719	0.875	0.875	2.0	0.468996	0.430318	1.0
96880903	1720	0.942	0.942	2.0	0.100212	0.0854943	1.0
226818395	1721	0.992	0.992	2.0	0.205757	0.186014	1.0
98078133	1722	0.953	0.953	2.0	0.477197	0.398924	1.0
167570736	1723	0.958	0.969	2.0	0.295182	0.21088	1.0
102847829	1724	0.924	0.924	2.0	0.412915	0.390443	1.0
19703385	1725	0.9	0.903	13.0	1.12834	0.392575	7.0
989	1726	0.945	0.945	2.0	0.512819	0.504931	1.0
17451031	1727	0.898	0.898	1.0	-0.0	0.566227	1.0
1252191	1728	0.948	0.948	2.0	0.388076	0.370195	1.0
105088163	1729	0.985	0.985	2.0	0.356327	0.298605	1.0
21429357	1730	0.895	0.892	46.0	3.97298	0.436299	9.0
11884342	1731	0.896	0.896	1.0	-0.0	0.465209	1.0
90767831	1732	0.945	0.945	2.0	0.385255	0.360399	1.0
65363711	1733	0.862	0.862	1.0	-0.0	0.505218	1.0
20414217	1734	0.924	0.921	3.0	0.370352	0.27706	2.0
119230913	1735	0.945	0.945	2.0	0.477197	0.451724	1.0
19049204	1736	0.946	0.946	2.0	0.470644	0.412811	1.0
14508983	1737	0.922	0.922	1.0	-0.0	0.49615	1.0
88112117	1738	0.983	0.988	2.0	0.269566	0.184129	1.0
49216076	1739	0.917	0.917	2.0	0.405656	0.382889	1.0
6303832	1740	0.964	0.964	2.0	0.351373	0.324356	1.0
80043372	1741	0.953	0.953	1.0	-0.0	0.388531	1.0
103116624	1742	0.988	0.988	1.0	-0.0	0.495753	1.0
28448216	1743	0.85	0.85	18.0	2.10078	0.513057	7.0
68036460	1744	0.971	0.971	2.0	0.228266	0.21081	1.0
11567972	1745	0.855	0.838	97.0	3.33735	0.551373	9.0
19560605	1746	0.971	0.971	2.0	0.378623	0.352847	1.0
30929500	1747	0.901	0.901	1.0	-0.0	0.41664	1.0
234318173	1748	0.969	0.969	2.0	0.382421	0.371979	1.0
83370426	1749	0.896	0.896	2.0	0.456489	0.444789	1.0
58010516	1750	0.883	0.883	2.0	0.452265	0.44042	1.0
36813285	1751	1.0	1.0	2.0	0.360262	0.296635	1.0
5916122	1752	0.94	0.94	2.0	0.4893	0.467493	1.0
162234728	1753	0.875	0.875	2.0	0.437686	0.406199	1.0
15803220	1754	0.833	0.833	2.0	0.490896	0.483683	1.0
3840	1755	0.906	0.906	2.0	0.433333	0.40963	1.0
104840160	1756	0.94	0.94	2.0	0.466514	0.454777	1.0
18867266	1757	0.938	0.938	2.0	0.452265	0.422384	1.0
11698322	1758	0.961	0.961	2.0	0.532497	0.505556	1.0
61751708	1759	1.0	1.0	2.0	0.352367	0.325978	1.0
18514207	1760	0.93	0.93	2.0	0.351373	0.319891	1.0
95522978	1761	0.99	0.99	2.0	0.34616	0.3383	1.0
147700530	1762	0.979	0.979	2.0	0.240379	0.192461	1.0
109370698	1763	0.961	0.961	2.0	0.287502	0.223697	1.0
94919897	1764	0.975	0.975	32.0	2.43613	0.410474	8.0
210785308	1765	0.906	0.906	1.0	-0.0	0.518383	1.0
206322915	1766	1.0	1.0	60.0	3.05186	0.364389	10.0
27283	1767	0.949	0.946	5.0	0.338825	0.158818	4.0
47914845	1768	0.891	0.891	1.0	-0.0	0.527884	1.0
25393674	1769	0.878	0.878	2.0	0.412012	0.403783	1.0
15924411	1770	0.969	0.969	2.0	0.31765	0.270694	1.0
52117188	1771	0.828	0.828	2.0	0.272971	0.258731	1.0
26739128	1772	0.846	0.846	1.0	-0.0	0.490164	1.0
190915626	1773	0.93	0.93	1.0	-0.0	0.383327	1.0
222189121	1774	0.898	0.898	2.0	0.297358	0.249985	1.0
7746052	1775	0.93	0.93	1.0	-0.0	0.468954	1.0
100573490	1776	0.983	0.983	2.0	0.434206	0.353559	1.0
237434201	1777	0.911	0.893	2.0	0.320793	0.243221	1.0
23844792	1778	0.93	0.93	2.0	0.234356	0.21786	1.0
78000325	1779	0.971	0.971	2.0	0.368058	0.317916	1.0
11413172	1780	0.94	0.927	2.0	0.37767	0.292906	1.0
40096276	1781	0.951	0.951	2.0	0.248703	0.197181	1.0
14837928	1782	0.896	0.896	2.0	0.509735	0.49783	1.0
5606492	1783	0.922	0.922	2.0	0.403829	0.353896	1.0
46666938	1784	0.953	0.953	2.0	0.307055	0.274209	1.0
220502693	1785	0.878	0.953	2.0	0.459849	0.190969	1.0
49011247	1786	0.979	0.979	2.0	0.151843	0.139011	1.0
71967936	1787	0.914	0.914	2.0	0.240379	0.197451	1.0
756083	1788	0.883	0.883	1.0	-0.0	0.454687	1.0
14350762	1789	0.938	0.938	2.0	0.484487	0.436452	1.0
271127683	1790	0.94	0.94	2.0	0.305985	0.29116	1.0
60932062	1791	0.953	0.953	2.0	0.198036	0.169201	1.0
191486542	1792	0.93	0.93	2.0	0.387137	0.343694	1.0
18557448	1793	0.917	0.917	2.0	0.448864	0.433714	1.0
19826509	1794	0.885	0.885	1.0	-0.0	0.540202	1.0
93730653	1795	0.927	0.927	2.0	0.483681	0.450598	1.0
788673	1796	0.87	0.87	2.0	0.497239	0.482323	1.0
36230769	1797	0.979	0.979	2.0	0.297358	0.242869	1.0
138322735	1798	0.944	0.944	2.0	0.296271	0.271253	1.0
9574902	1799	0.919	0.919	2.0	0.263846	0.240122	1.0
113184261	1800	0.954	0.952	4.0	0.501668	0.356187	4.0
42108592	1801	0.984	0.984	2.0	0.28084	0.227255	1.0
90938377	1802	0.927	0.927	30.0	2.72904	0.486053	8.0
171719023	1803	0.764	0.779	204.0	3.65539	0.456863	10.0
14944471	1804	0.971	0.971	2.0	0.502737	0.436666	1.0
159329042	1805	0.896	0.896	1.0	-0.0	0.522582	1.0
91418281	1806	0.947	0.927	49.0	2.40837	0.393726	8.0
42957361	1807	0.984	0.984	2.0	0.434206	0.385542	1.0
23866339	1808	0.935	0.935	2.0	0.393681	0.367036	1.0
19065686	1809	0.937	0.937	2.0	0.254575	0.230433	1.0
112558885	1810	0.964	0.964	1.0	-0.0	0.254379	1.0
16049723	1811	0.93	0.93	2.0	0.482874	0.455534	1.0
183146283	1812	0.996	0.996	1.0	-0.0	0.415938	1.0
166698317	1813	0.971	0.971	1.0	-0.0	0.247286	1.0
15013580	1814	0.961	0.961	2.0	0.411108	0.399314	1.0
17928145	1815	0.922	0.922	2.0	0.484487	0.474586	1.0
30340990	1816	0.917	0.917	2.0	0.366118	0.351784	1.0
15843240	1817	1.0	1.0	2.0	0.203134	0.156291	1.0
106601959	1818	0.987	0.987	2.0	0.262695	0.240593	1.0
13728412	1819	0.88	0.88	1.0	-0.0	0.524102	1.0
116690967	1820	0.985	0.992	2.0	0.122292	0.0467906	1.0
231476876	1821	0.964	0.964	1.0	-0.0	0.286369	1.0
16275014	1822	0.917	0.917	2.0	0.405656	0.388182	1.0
15233366	1823	0.872	0.872	2.0	0.446302	0.434828	1.0
29767444	1824	0.914	0.914	2.0	0.407479	0.33598	1.0
19477654	1825	0.953	0.953	2.0	0.494868	0.484222	1.0
20173675	1826	0.982	0.974	2.0	0.324959	0.201112	1.0
16494284	1827	0.859	0.859	2.0	0.458171	0.442105	1.0
22201568	1828	0.904	0.904	1.0	-0.0	0.408931	1.0
14685183	1829	0.878	0.878	2.0	0.500387	0.493376	1.0
1053301	1830	0.911	0.911	1.0	-0.0	0.396491	1.0
414853	1831	0.964	0.964	2.0	0.391818	0.36689	1.0
15522756	1832	0.891	0.891	2.0	0.510507	0.493813	1.0
101014503	1833	1.0	1.0	2.0	0.404743	0.134683	1.0
20770172	1834	0.932	0.932	1.0	-0.0	0.466043	1.0
16812732	1835	0.779	0.799	44.0	3.84508	0.354552	10.0
30324031	1836	0.88	0.88	2.0	0.316599	0.292308	1.0
28733900	1837	0.94	0.94	1.0	-0.0	0.39556	1.0
261765367	1838	0.94	0.94	2.0	0.402913	0.381539	1.0
58866657	1839	0.976	0.971	3.0	0.364712	0.286428	2.0
53084125	1840	0.909	0.909	1.0	-0.0	0.518766	1.0
13767702	1841	0.956	0.956	2.0	0.39275	0.360732	1.0
29719777	1842	0.885	0.885	2.0	0.478011	0.44021	1.0
20280033	1843	0.938	0.938	2.0	0.291903	0.233982	1.0
18840983	1844	0.917	0.908	108.0	3.72683	0.520954	10.0
84958944	1845	0.902	0.894	83.0	3.42346	0.430292	10.0
6120472	1846	0.994	0.994	71.0	2.33546	0.303502	10.0
50387743	1847	0.961	0.961	2.0	0.410203	0.371641	1.0
209150087	1848	0.971	0.982	2.0	0.172772	0.0993431	1.0
153119220	1849	0.945	0.945	2.0	0.363197	0.336688	1.0
19884721	1850	0.932	0.943	2.0	0.34638	0.256063	1.0
136952493	1851	0.922	0.922	1.0	-0.0	0.412117	1.0
127568130	1852	0.933	0.966	23.0	1.56094	0.180313	8.0
31163497	1853	0.896	0.896	1.0	-0.0	0.566933	1.0
15041902	1854	0.958	0.958	2.0	0.422762	0.396142	1.0
243494256	1855	0.952	0.952	2.0	0.304913	0.266649	1.0
17240550	1856	0.958	0.958	2.0	0.38995	0.376618	1.0
18134756	1857	0.951	0.951	2.0	0.264995	0.238857	1.0
51028602	1858	0.906	0.906	2.0	0.414717	0.402559	1.0
6389222	1859	0.94	0.94	2.0	0.44373	0.414629	1.0
141243524	1860	0.973	0.973	2.0	0.160329	0.128285	1.0
24425906	1861	0.969	0.969	2.0	0.381474	0.348344	1.0
227124242	1862	0.862	0.862	1.0	-0.0	0.54462	1.0
17461963	1863	0.964	0.964	2.0	0.289706	0.257942	1.0
17767500	1864	0.81	0.821	10.0	2.42505	0.411442	6.0
19881288	1865	0.951	0.951	2.0	0.191511	0.160673	1.0
57486140	1866	0.995	0.995	2.0	0.171406	0.146296	1.0
21513512	1867	0.956	0.922	2.0	0.365146	0.272331	1.0
14332565	1868	0.935	0.935	2.0	0.453112	0.415927	1.0
93151373	1869	0.922	0.922	1.0	-0.0	0.434856	1.0
29732504	1870	0.864	0.827	79.0	1.04609	0.115423	9.0
795448	1871	0.913	0.913	31.0	1.45025	0.367511	8.0
122895180	1872	0.885	0.885	2.0	0.390884	0.347788	1.0
41238441	1873	0.893	0.893	1.0	-0.0	0.417991	1.0
58537607	1874	0.927	0.927	2.0	0.409296	0.364307	1.0
15076776	1875	0.94	0.94	2.0	0.321837	0.311571	1.0
13457562	1876	0.811	0.834	23.0	1.58347	0.183066	8.0
13693042	1877	0.901	0.915	14.0	2.15018	0.432619	6.0
14084098	1878	0.896	0.896	2.0	0.379574	0.359476	1.0
755452	1879	0.924	0.924	2.0	0.446302	0.423299	1.0
112882584	1880	0.888	0.888	1.0	-0.0	0.507952	1.0
15426896	1881	0.924	0.924	2.0	0.415616	0.371124	1.0
15393033	1882	0.974	0.974	2.0	0.369026	0.353757	1.0
79873303	1883	0.945	0.945	2.0	0.290806	0.256593	1.0
27292941	1884	0.893	0.893	1.0	-0.0	0.49932	1.0
9147742	1885	0.928	0.914	80.0	2.82072	0.35182	10.0
67321398	1886	0.992	0.992	1.0	-0.0	0.540202	1.0
10952962	1887	0.924	0.924	2.0	0.506634	0.480606	1.0
224809136	1888	0.977	0.977	2.0	0.289706	0.266016	1.0
153483319	1889	0.911	0.911	1.0	-0.0	0.464791	1.0
15878020	1890	0.909	0.909	1.0	-0.0	0.458905	1.0
21318903	1891	0.888	0.888	1.0	-0.0	0.539463	1.0
125478633	1892	0.891	0.891	2.0	0.447157	0.397783	1.0
60802792	1893	0.883	0.883	2.0	0.325996	0.283979	1.0
9853212	1894	0.979	0.979	2.0	0.512819	0.437595	1.0
16388972	1895	0.942	0.942	2.0	0.175494	0.150239	1.0
84927631	1896	0.93	0.93	2.0	0.409296	0.384505	1.0
18635626	1897	0.862	0.862	2.0	0.360262	0.344548	1.0
140060120	1898	0.896	0.896	1.0	-0.0	0.509897	1.0
815233	1899	0.927	0.927	2.0	0.456489	0.427527	1.0
14134608	1900	0.883	0.883	2.0	0.456489	0.419634	1.0
114950933	1901	0.992	0.992	2.0	0.365146	0.336203	1.0
237650161	1902	0.943	0.943	2.0	0.341346	0.328678	1.0
14139584	1903	0.96	0.96	2.0	0.386196	0.356945	1.0
2226621	1904	0.971	0.971	95.0	2.40454	0.320747	10.0
15635812	1905	0.883	0.883	2.0	0.464854	0.452476	1.0
22150874	1906	0.94	0.94	2.0	0.420983	0.415831	1.0
14850719	1907	0.935	0.935	2.0	0.311315	0.257476	1.0
213129687	1908	0.95	0.95	2.0	0.234356	0.223287	1.0
17387554	1909	0.94	0.94	1.0	-0.0	0.374235	1.0
33369174	1910	0.906	0.906	2.0	0.429829	0.374484	1.0
23963107	1911	0.943	0.943	2.0	0.331155	0.281462	1.0
147756403	1912	0.969	0.969	2.0	0.236773	0.221667	1.0
22611722	1913	0.948	0.948	2.0	0.383367	0.364304	1.0
48504894	1914	0.914	0.914	2.0	0.335252	0.317627	1.0
14115587	1915	0.94	0.94	2.0	0.508186	0.501444	1.0
112237055	1916	0.948	0.948	1.0	-0.0	0.487753	1.0
126492276	1917	0.911	0.911	2.0	0.41741	0.408668	1.0
90342052	1918	1.0	1.0	2.0	0.205633	0.147852	1.0
16612857	1919	0.901	0.901	2.0	0.464023	0.430748	1.0
188202145	1920	0.932	0.957	15.0	3.3851	0.357445	9.0
21329702	1921	0.938	0.938	1.0	-0.0	0.420684	1.0
262374583	1922	0.951	0.951	2.0	0.109218	0.0811773	1.0
28623830	1923	0.933	0.933	2.0	0.435948	0.4103	1.0
55617759	1924	0.919	0.919	1.0	-0.0	0.473153	1.0
155205940	1925	0.93	0.917	2.0	0.198036	0.136069	1.0
267519951	1926	0.935	0.935	1.0	-0.0	0.422257	1.0
9485202	1927	0.94	0.943	2.0	0.365146	0.273735	1.0
57102394	1928	0.958	0.958	2.0	0.233143	0.169363	1.0
16191771	1929	0.917	0.914	84.0	3.68608	0.501309	10.0
50485817	1930	0.923	0.952	17.0	1.72812	0.321219	9.0
18216761	1931	0.938	0.938	2.0	0.424536	0.408816	1.0
115242946	1932	0.936	0.936	76.0	2.63178	0.455432	9.0
123971807	1933	0.977	0.977	2.0	0.203196	0.177592	1.0
17021619	1934	0.943	0.943	2.0	0.4893	0.479512	1.0
833071	1935	0.911	0.911	2.0	0.320793	0.296987	1.0
11896822	1936	0.915	0.915	2.0	0.126861	0.111157	1.0
176996195	1937	0.994	0.992	2.0	0.144645	0.0858934	1.0
26197118	1938	0.87	0.87	2.0	0.341346	0.301574	1.0
21275406	1939	0.977	0.977	1.0	-0.0	0.280783	1.0
700593	1940	0.964	0.964	2.0	0.370957	0.359797	1.0
86092304	1941	0.935	0.935	2.0	0.33729	0.298867	1.0
52233562	1942	0.956	0.956	2.0	0.22458	0.194591	1.0
181255875	1943	0.944	0.944	2.0	0.258069	0.232878	1.0
162140481	1944	0.938	0.938	2.0	0.218379	0.17897	1.0
221209416	1945	0.868	0.868	30.0	3.46107	0.351797	10.0
17380976	1946	0.896	0.896	1.0	-0.0	0.366475	1.0
132553078	1947	0.958	0.967	2.0	0.210842	0.147857	1.0
14089271	1948	0.901	0.901	2.0	0.419199	0.404812	1.0
15809601	1949	0.958	0.958	1.0	-0.0	0.406188	1.0
152189675	1950	0.979	0.979	2.0	0.223345	0.201724	1.0
142313915	1951	0.904	0.938	2.0	0.150412	0.100199	1.0
82821085	1952	0.952	0.96	2.0	0.295561	0.224123	6.0
53411390	1953	0.911	0.911	25.0	1.13959	0.317249	7.0
17464581	1954	0.969	0.969	2.0	0.368058	0.348612	1.0
16000947	1955	0.94	0.94	2.0	0.481257	0.46532	1.0
167429895	1956	0.962	0.96	27.0	0.855054	0.224703	7.0
103157143	1957	0.893	0.893	2.0	0.433333	0.414822	1.0
43637692	1958	0.714	0.714	2.0	0.401996	0.364232	1.0
175938534	1959	0.966	0.966	2.0	0.276356	0.257921	1.0
94607882	1960	0.958	0.958	2.0	0.28418	0.20917	1.0
14888362	1961	0.865	0.865	2.0	0.36222	0.347534	1.0
15342518	1962	0.867	0.867	1.0	-0.0	0.589106	1.0
18547882	1963	0.967	0.967	2.0	0.418305	0.410144	1.0
