uid	C	h	|S|
1307011	1.75096	0.975518	4
244671893	0.718599	0.493064	2
20649770	1.87711	0.977096	4
76976987	0.913985	0.830389	2
15131310	3.28361	0.590409	25
18565158	1.79742	0.972062	5
19111507	0.783193	0.722993	2
44206517	0.25276	0.176873	2
106400899	1.61563	0.561586	5
74153376	0.863962	0.780582	2
16570335	1.26144	0.580033	4
17542265	0.741141	0.631807	2
252855619	0.672239	0.544969	2
259891539	0.892869	0.811259	2
14040522	0.953331	0.902473	2
44150150	-0.0	0.98012	1
1293051	1.96279	0.78798	5
19022242	-0.0	0.625132	1
160029634	1.47042	0.702971	4
125322205	1.2197	0.552967	4
18773467	3.68703	0.964748	16
177081110	2.71772	0.190289	35
20476654	0.441868	0.200751	2
19089993	0.933802	0.675427	2
18704291	0.863401	0.678076	2
16824146	2.35654	0.695714	7
1917731	2.45682	0.678705	11
189474615	2.16338	0.788669	6
22042468	5.55205	0.627769	205
246627716	1.23931	0.93172	3
76745868	2.59933	0.690487	14
35548601	1.1183	0.482482	4
119196878	0.365701	0.282972	2
115753716	0.619543	0.416992	2
232191946	1.37332	0.258218	5
107209093	0.440459	0.225156	2
21303464	0.321305	0.246803	2
179273010	1.61896	0.747237	4
230859303	0.615346	0.350203	2
4954131	0.782461	0.759783	2
124920374	0.807532	0.725212	2
7526892	1.4024	0.669236	4
70236664	3.27518	0.608271	86
12088232	5.06847	0.574555	97
14562685	1.57496	0.620085	9
178708337	0.581135	0.575399	2
17520649	2.15718	0.35614	12
21751985	0.746796	0.50203	2
180151159	0.474764	0.333647	2
52814458	0.778781	0.624558	2
27789999	0.716883	0.582706	2
34376087	3.47109	0.499569	24
14429823	3.63298	0.949161	15
76866234	3.1598	0.839439	14
85150043	0.111641	0.0948176	2
185187643	0.716883	0.50142	2
174319881	0.765007	0.435202	3
219913962	1.11599	0.480196	4
17486092	7.51925	0.566253	481
19734025	7.7915	0.734536	473
165494539	0.773568	0.611123	2
165942642	3.81736	0.622293	86
24247270	0.54832	0.406841	2
16700601	0.34881	0.231398	2
97158610	0.674126	0.542456	2
27503151	2.85296	0.727827	10
162959093	0.6564	0.514243	2
18941347	2.25921	0.804368	9
165857031	0.533332	0.317298	2
27553223	0.597907	0.209514	3
55927532	2.83488	0.3312	207
61425810	2.52329	0.71306	9
22935909	1.69525	0.764608	5
18773339	1.99602	0.810202	6
223005128	6.30903	0.307449	219
238341121	0.562939	0.36262	2
63073975	0.62215	0.482722	2
70477603	0.802745	0.673139	2
183626732	0.714295	0.704058	2
14124881	1.25573	0.914095	3
28573074	1.0052	0.299762	5
34405249	0.547127	0.3773	3
39218630	0.910229	0.817871	2
215456197	0.807891	0.615926	2
21316936	0.666059	0.44199	2
18913509	-0.0	0.93166	1
96655484	0.557718	0.441136	2
22516489	5.28742	0.451034	125
30955860	0.537566	0.357985	2
134156687	1.69425	0.824445	4
25637773	0.473427	0.404119	2
824157	0.815296	0.713581	2
13817822	0.524157	0.361406	2
775861	4.68565	0.633658	233
220594903	6.8413	0.830153	178
23664028	2.41578	0.888599	9
15842676	0.547135	0.257944	2
25885519	0.457846	0.361102	2
175533140	0.409389	0.190655	2
20477352	2.61224	0.744092	9
107145433	3.50571	0.628424	107
237876854	1.28057	0.536052	4
57203	1.24686	0.568074	4
14343150	6.44512	0.653489	232
79930408	1.50639	0.951197	4
171594145	0.673655	0.548884	2
32657709	1.24623	0.557498	4
263234033	-0.0	0.9298	1
96898398	0.667969	0.472731	2
14763855	2.04337	0.485731	7
18460854	5.30298	0.700399	112
168837176	1.67955	0.680127	5
47721240	0.796113	0.682162	2
20897273	0.398935	0.229604	2
171671275	3.69296	0.528677	108
71071795	0.808232	0.634665	2
18706144	2.20421	0.70934	9
16273144	1.7716	0.741465	4
15349653	5.89466	0.664398	223
159658784	5.874	0.815391	155
142410443	1.22451	0.913254	3
16248319	4.36207	0.698433	27
17477864	0.416019	0.229331	2
91243832	3.32506	0.384741	18
14870804	3.586	0.852329	20
8071902	0.822209	0.811735	2
16172615	4.15718	0.314958	56
162017343	0.354491	0.14546	2
157765776	1.54628	0.585284	8
14468043	6.50832	0.492829	231
15293352	4.42627	0.671455	94
87321877	0.424753	0.215732	2
135930594	4.46859	0.634115	68
174810309	0.615346	0.38293	2
169103586	0.564093	0.311498	2
184495064	3.29622	0.612283	85
14819061	1.651	0.634407	7
112009840	1.1529	0.311182	3
17366263	0.768281	0.728207	2
66011751	0.713429	0.507279	2
82977544	0.577203	0.416307	2
105109640	0.527844	0.372064	2
65507075	0.580014	0.41859	2
75221587	1.37463	0.602646	4
18500081	2.35102	0.555276	37
16703461	5.34046	0.749807	208
115036116	0.506016	0.254427	2
110730520	0.724133	0.503151	2
227694791	0.294291	0.159055	2
148418872	4.11696	0.518915	93
179302942	-0.0	0.598769	1
15754851	2.16589	0.708087	6
81799773	0.24116	0.211172	2
140983662	0.323856	0.235674	2
5656332	-0.0	0.899411	1
112760135	1.73575	0.551843	10
230525319	1.1936	0.521676	5
21703120	1.24753	0.549756	4
35783898	0.787552	0.573701	2
29355945	0.542967	0.434631	2
217392065	0.485357	0.291769	2
33247276	1.96531	0.75219	5
208064567	0.782827	0.643786	2
121296694	1.07082	0.57947	3
61421779	0.857448	0.359123	4
71632263	1.45336	0.677195	4
15808765	1.69164	0.700794	6
42469463	0.740734	0.626365	2
36008885	0.17469	0.0724176	2
13527262	-0.0	0.892605	1
24816382	1.13179	0.612754	3
9158962	4.22054	0.573761	28
25610972	1.36642	0.603612	4
166248847	2.22406	0.333679	77
146655020	0.686214	0.592476	2
14227897	4.27392	0.618179	204
21259003	3.47429	0.499537	198
49472317	5.48554	0.671933	181
266761504	0.69441	0.665549	2
60146028	3.69784	0.437046	201
42300159	0.414552	0.253893	2
15896304	0.598772	0.440983	2
23932737	0.549503	0.391632	2
18131988	0.530899	0.466426	2
226995027	1.66931	0.521903	7
33637010	2.31116	0.215808	78
17420951	1.33049	0.715289	7
121197192	0.812686	0.0893291	3
15947185	6.02627	0.603324	244
119777563	3.57305	0.665541	67
30924802	4.31664	0.806158	26
158630760	0.982932	0.525367	3
146452672	0.809828	0.388669	3
85632018	1.5689	0.265464	47
77731518	0.660769	0.487618	2
208398817	1.15016	0.459721	4
77292945	1.33935	0.609837	4
107852396	2.14433	0.9694	7
18308864	0.771688	0.701857	2
177258627	2.05029	0.618142	6
