Ranking	Baseline Rate	CM Rate	Number of States	Cmu	Lopt
40	0.481	0.788	80.0	4.23407	9.0
41	0.892	0.894	2.0	0.707871	1.0
42	0.657	0.667	178.0	6.35424	10.0
43	0.688	0.864	8.0	1.91784	5.0
44	0.654	0.9	2.0	0.789297	1.0
45	0.415	0.748	2.0	0.971072	1.0
46	0.813	0.813	2.0	0.854618	1.0
47	0.615	0.753	2.0	0.978491	1.0
48	0.763	0.766	4.0	1.1348	4.0
49	0.76	0.802	4.0	1.76306	2.0
50	0.776	0.776	2.0	0.778828	1.0
51	0.744	0.927	2.0	0.870284	1.0
52	0.634	0.708	222.0	6.67339	10.0
53	0.466	0.873	62.0	4.00446	8.0
54	0.697	0.754	67.0	5.03002	9.0
55	0.66	0.744	8.0	2.66384	4.0
56	0.571	0.62	20.0	3.54924	8.0
57	0.637	0.827	2.0	0.898861	1.0
58	0.56	0.785	2.0	0.998846	1.0
59	0.597	0.845	2.0	0.88539	1.0
60	0.771	0.839	94.0	3.87479	9.0
61	0.65	0.748	86.0	3.55235	9.0
62	0.73	0.733	36.0	4.69167	7.0
63	0.742	0.908	2.0	0.837103	1.0
64	0.793	0.83	2.0	0.766662	1.0
65	0.721	0.831	2.0	0.861344	1.0
66	0.811	0.837	10.0	2.52466	6.0
67	0.781	0.898	2.0	0.80917	1.0
68	0.844	0.889	2.0	0.669862	1.0
69	0.918	0.931	2.0	0.684124	1.0
70	0.825	0.863	49.0	4.09027	8.0
71	0.775	0.833	2.0	0.746491	1.0
72	0.88	0.875	2.0	0.441852	1.0
73	0.757	0.814	82.0	3.39174	9.0
74	0.804	0.825	2.0	0.840566	1.0
75	0.54	0.698	2.0	0.997716	1.0
76	0.79	0.825	2.0	0.904532	1.0
77	0.724	0.776	2.0	0.859405	1.0
78	0.451	0.487	179.0	5.8195	10.0
79	0.756	0.812	2.0	0.815868	1.0
